,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,time_and_day,name,lat,lon,region_id
432,False,1,1,1,1576168413,1,0,18,0,0,453,12/12/2019 12:29:42,15th & W St NW,38.919086,-77.034502,42
433,False,1,1,1,1576170982,6,0,13,0,0,454,12/12/2019 12:29:42,12th St & Pennsylvania Ave SE,38.882489,-76.990121,42
434,False,1,1,1,1576169129,12,0,3,0,0,455,12/12/2019 12:29:42,3rd St & Riggs Rd NE,38.957463,-77.002239,42
435,False,1,1,1,1576165208,8,0,7,0,0,456,12/12/2019 12:29:42,Carlin Springs Rd & N Thomas St,38.876695,-77.112982,41
436,True,1,1,1,1576162945,4,0,7,0,0,457,12/12/2019 12:29:42,Towers Crescent Dr & Tysons One Pl,38.915246,-77.220157,104
437,False,1,1,1,1576169299,12,1,6,0,0,458,12/12/2019 12:29:42,6th & K St NE,38.90235129497938,-76.99838876724243,42
438,False,1,1,1,1576144430,5,0,10,0,0,459,12/12/2019 12:29:42,Pooks Hill Rd & Linden Ave,39.014716,-77.107143,44
439,True,1,1,1,1576144436,6,0,9,0,0,460,12/12/2019 12:29:42,Takoma Park Rec Center,38.98265,-76.988311,44
440,True,1,1,1,1576144404,7,0,8,0,0,461,12/12/2019 12:29:42,New Hampshire & Kirklynn Ave,38.988101,-76.988422,44
441,True,1,1,1,1576152930,8,0,3,0,0,462,12/12/2019 12:29:42,Wheaton Metro / Georgia Ave & Reedie Dr,39.038341,-77.051023,44
442,True,1,1,1,1576144432,9,0,6,0,0,463,12/12/2019 12:29:42,Amherst Ave & Elkins St,39.044887,-77.047788,44
443,True,1,1,1,1576144764,8,0,7,0,0,464,12/12/2019 12:29:42,Amherst Ave & Prichard Rd,39.035965,-77.048395,44
444,True,1,1,1,1576152789,0,0,15,0,0,465,12/12/2019 12:29:42,Grandview & Blueridge Ave,39.043272,-77.053085,44
445,True,1,1,1,1576058290,5,1,9,0,0,466,12/12/2019 12:29:42,Windham Ln & Amherst Ave,39.032029,-77.04735,44
446,True,1,1,1,1576144425,4,0,7,0,0,467,12/12/2019 12:29:42,North Shore Dr & Village Rd,38.970412,-77.340787,104
447,True,1,1,1,1576103425,8,0,3,0,0,468,12/12/2019 12:29:42,Town Center Pkwy & Sunset Hills Rd,38.955170598044894,-77.3630940914154,104
448,False,1,1,1,1576161190,1,0,18,0,0,469,12/12/2019 12:29:42,3rd & Underwood St NW,38.968834,-77.016258,42
449,False,1,1,1,1576152571,9,0,10,0,0,470,12/12/2019 12:29:42,18th & Monroe St NE,38.93293,-76.979517,42
450,False,1,1,1,1576163276,15,2,2,0,0,471,12/12/2019 12:29:42,7th & E St SW,38.88345,-77.021741,42
451,True,1,1,1,1576170516,10,1,8,0,0,472,12/12/2019 12:29:42,Shady Grove Metro East,39.121327,-77.164969,43
452,False,1,1,1,1576171586,8,1,10,0,0,473,12/12/2019 12:29:42,Potomac & M St NW,38.905368,-77.065149,42
453,False,1,1,1,1576171196,9,0,14,0,0,474,12/12/2019 12:29:42,Columbia & Ontario Rd NW,38.924088,-77.040787,42
454,False,1,1,1,1576164572,7,0,8,0,0,475,12/12/2019 12:29:42,Washington-Liberty High School / N Stafford St & Generals Way,38.888282,-77.111066,41
455,False,1,1,1,1576164653,6,0,9,0,0,476,12/12/2019 12:29:42,Westover Library / Washington Blvd & N McKinley Rd,38.886048,-77.142317,41
456,False,1,1,1,1576142080,9,0,6,0,0,477,12/12/2019 12:29:42,Columbia Pike & S Taylor St,38.858524,-77.103728,41
457,True,1,1,1,1576170775,1,0,10,0,0,478,12/12/2019 12:29:42,Columbus Ave & Tribeca St,39.126,-77.1673,43
458,True,1,1,1,1576151148,0,0,11,0,0,479,12/12/2019 12:29:42,Columbus Ave & Gramercy Blvd,39.12333,-77.16486,43
459,True,1,1,1,1576144401,5,0,10,0,0,480,12/12/2019 12:29:42,Reston Pkwy & Spectrum Dr,38.964207741006206,-77.35428035259247,104
460,True,1,1,1,1576144746,6,0,5,0,0,481,12/12/2019 12:29:42,Key West Ave & Great Seneca Hwy,39.105642,-77.20386,43
461,False,1,1,1,1576168418,16,0,3,0,0,482,12/12/2019 12:29:42,Virginia Ave & 25th St NW,38.8995,-77.054155,42
462,True,1,1,1,1576171308,6,0,13,0,0,483,12/12/2019 12:29:42,15th & M St NW,38.905424,-77.034674,42
463,True,1,1,1,1576169783,5,0,14,0,0,484,12/12/2019 12:29:42,11th & Girard St NW,38.925636,-77.027112,42
464,True,1,1,1,1576171618,17,0,2,0,0,485,12/12/2019 12:29:42,Connecticut Ave & R St NW,38.912644,-77.04564,42
465,False,1,1,1,1576142634,7,0,8,0,0,486,12/12/2019 12:29:42,Wilson Blvd & N Troy St,38.892556,-77.082089,41
466,True,1,1,1,1576168947,0,2,17,0,0,487,12/12/2019 12:29:42,American University East Campus,38.936298,-77.087128,42
467,True,1,1,1,1576171760,18,1,0,0,0,488,12/12/2019 12:29:42,15th St & Constitution Ave NW,38.892244,-77.033234,42
468,True,1,1,1,1576171581,10,2,5,0,0,489,12/12/2019 12:29:42,22nd & H St NW,38.899104,-77.048946,42
469,True,1,1,1,1576169785,8,0,11,0,0,490,12/12/2019 12:29:42,23rd & M St NW,38.905303,-77.050264,42
470,True,1,1,1,1576144469,2,0,13,0,0,491,12/12/2019 12:29:42,Corporate Blvd & Omega Dr,39.106971,-77.192645,43
471,True,1,1,1,1576153616,2,0,9,0,0,492,12/12/2019 12:29:42,Key West Ave & Diamondback Dr,39.106152,-77.202354,43
472,True,1,1,1,1576144474,0,0,19,0,0,493,12/12/2019 12:29:42,Alabama Ave & Stanton Rd SE / Shops at Park Village,38.84627,-76.98185,42
473,True,1,1,1,1576144440,6,0,13,0,0,494,12/12/2019 12:29:42,Mississippi Ave & 19th St SE / THEARC,38.84377,-76.97557,42
474,True,1,1,1,1576058338,7,0,4,0,0,495,12/12/2019 12:29:42,19th & Savannah St SE,38.84623,-76.97703,42
475,True,1,1,1,1576171032,17,0,1,1,0,496,12/12/2019 12:29:42,4th St & Mississippi Ave SE,38.836,-77.0009,42
476,True,1,1,1,1576144384,11,0,8,0,0,497,12/12/2019 12:29:42,1st & S Capitol St SE / Oxon Run Trail,38.824481,-77.005497,42
477,True,1,1,1,1576144464,8,0,7,0,0,498,12/12/2019 12:29:42,Livingston Rd & 3rd St SE,38.82373,-77.00223,42
478,True,1,1,1,1576145037,7,1,11,0,0,499,12/12/2019 12:29:42,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,38.81909,-77.01033,42
479,True,1,1,1,1576058301,4,0,11,0,0,500,12/12/2019 12:29:42,37th & Ely Pl SE,38.883011,-76.949709,42
480,True,1,1,1,1576169801,9,2,8,0,0,501,12/12/2019 12:29:42,15th St & Pennsylvania Ave NW,38.89635,-77.03338,42
481,True,1,1,1,1576166908,7,0,8,0,0,505,12/12/2019 12:29:42,Maine Ave & 9th St SW,38.88044,-77.025236,42
482,True,1,1,1,1576169936,1,0,18,0,0,506,12/12/2019 12:29:42,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,38.915,-77.0078,42
483,True,1,1,1,1576144722,10,0,5,0,0,507,12/12/2019 12:29:42,Blueridge Ave & Elkin St,39.04313,-77.05006,44
484,False,1,1,1,1576168815,0,1,18,0,0,508,12/12/2019 12:29:42,Georgia Ave & Kennedy St NW,38.95674,-77.02791,42
485,False,1,1,1,1576170903,5,1,13,0,0,509,12/12/2019 12:29:42,7th St & Massachusetts Ave NE,38.89222,-76.99602,42
486,False,1,1,1,1576142683,9,0,10,0,0,510,12/12/2019 12:29:42,Anacostia Park,38.87335,-76.9834,42
487,True,1,1,1,1576156227,3,0,11,0,0,511,12/12/2019 12:29:42,Twinbrook Metro,39.062041,-77.120776,43
488,True,1,1,1,1576168771,7,0,18,0,0,512,12/12/2019 12:29:42,White Flint Metro,39.04753,-77.11287,43
489,True,1,1,1,1576123491,6,1,8,0,0,513,12/12/2019 12:29:42,Citadel Ave & McGrath Blvd,39.049,-77.10933,43
490,True,1,1,1,1576066004,8,0,7,0,0,514,12/12/2019 12:29:42,Rockville Pike & Old Georgetown Rd,39.049765,-77.11368,43
491,True,1,1,1,1576170832,13,0,3,0,0,515,12/12/2019 12:29:42,Woodglen Dr & Executive Blvd,39.04317,-77.1135,43
492,True,1,1,1,1576159567,11,1,3,0,0,516,12/12/2019 12:29:42,Executive Blvd & E Jefferson St,39.04873,-77.1257,43
